Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
01-11-2022,0,0.24498907,0.045030266,0.18305598,0
02-11-2022,0,0,1,0.009083144,0.72857785
03-11-2022,0,0,0.18148379,0.29290038,0
04-11-2022,0,0,0.4146651,0,0
07-11-2022,0,0.064529344,0.02054678,0.37114424,0
09-11-2022,0,0,0.4478258,0,0.00999174
10-11-2022,0,0.17314805,0.18562809,0.07244654,0
11-11-2022,0,0.5848251,0,0.1733664,0
14-11-2022,0,0.1794962,0.01959441,0.24964003,0
15-11-2022,0,0,0.77260894,0.08290008,0.36951786
16-11-2022,0,0,0.7895181,0.08970574,0.42079598
17-11-2022,0,0,0.1807501,0.25539714,0
18-11-2022,0,0.11738724,0.08753688,0.22422738,0
21-11-2022,0,0.4511721,0,0.38957727,0
22-11-2022,0,0,0.4178593,0.25088298,0.035262346
23-11-2022,0,0,1,0.04554318,0.8401571
24-11-2022,0,0,0.68451625,0.101652294,0.2755054
25-11-2022,0,0,0.65892345,0,0.2563165
28-11-2022,0,0.35252085,0.000575585,0.12229845,0
29-11-2022,0,0,0.25701803,0.18682633,0
30-11-2022,0,0,0.30885613,0.19277865,0
01-12-2022,0,0.09970308,0.23633127,0.06151776,0
